AGS,Gültige,Union,SPD,Linke,AfD,FDP,Grüne,Sonstige
1053096,539,21.5,27.6,3.2,11.5,15.2,13,8
1053097,309,22.7,28.5,3.2,11.7,12.6,13.6,7.7
1053098,273,29.7,26,0.7,7.7,13.9,16.5,5.5
1053099,192,14.6,30.2,3.1,9.9,17.2,14.6,10.4
1053100,8367,22.6,28.7,3.6,8.1,12.3,17,7.7
1053101,154,19.5,23.4,1.9,7.8,20.1,16.2,11.1
1053102,429,30.3,19.1,2.1,6.3,16.3,17.9,8
1053103,353,23.5,29.5,2.5,9.1,12.5,14.4,8.5
1053104,274,25.5,31,1.1,8.4,11.3,13.1,9.6
1053106,229,25.3,33.6,1.7,8.3,11.8,14.4,4.9
1053107,275,23.6,22.9,4.4,6.2,15.3,19.3,8.3
1053108,794,23.7,30,2.5,8.7,14.1,13.4,7.6
1053109,303,26.1,25.7,3,12.5,11.6,13.9,7.2
1053110,324,27.8,27.2,4,8.3,12.3,15.4,5
1053111,438,26.9,30.6,1.4,11,13,9.4,7.7
1053112,2507,23.3,30.4,2.7,7.7,12.3,17,6.6
1053113,276,19.2,34.1,1.1,12.3,12,16.3,5
1053114,98,21.4,38.8,3.1,8.2,12.2,12.2,4.1
1053115,224,32.1,17,3.6,8.9,15.6,13.8,9
1053116,8916,20.4,31,3.2,9.3,13.9,15.3,6.9
1053117,237,38,23.6,3.4,2.5,11.8,14.8,5.9
1053118,293,18.4,30,3.1,6.1,15.7,17.1,9.6
1053119,140,28.6,22.9,2.1,12.1,12.9,14.3,7.1
1053120,167,26.9,26.9,5.4,16.8,9.6,8.4,6
1053121,151,19.2,25.2,2,11.3,14.6,23.2,4.5
1053122,267,20.2,33.3,1.9,7.1,12.4,13.5,11.6
1053123,442,24.7,30.8,2.3,8.1,13.6,14.9,5.6
1053124,207,26.6,23.7,2.4,9.7,13,19.8,4.8
1053125,278,25.5,27,2.5,13.7,13.3,9,9
1053126,175,30.3,25.7,2.3,8,13.7,13.1,6.9
