AGS,Gültige,Union,SPD,Linke,AfD,FDP,Grüne,Sonstige
6440003,19670,24.9,22,3.8,5.5,16.2,21.3,6.3
6440004,11516,23.8,26,3,13,13.4,11,9.8
6440005,14319,21.9,27.3,4,8.3,13.5,16.3,8.7
6440006,3152,22.3,29.9,3.1,9.7,10,14.4,10.6
6440007,5345,19.6,32.8,3,12.9,10.9,11.1,9.7
6440008,15157,21.2,24.5,5,8,13.1,19.5,8.7
6440009,4046,24.7,29,2.7,13.6,11.6,8.5,9.9
6440010,1913,21,30.5,4.1,9.9,11.6,12.2,10.7
6440011,1610,19,31.6,3.1,16.1,11.2,8.7,10.3
6440012,12857,25,25.8,3.1,7.6,13.8,16.8,7.9
6440013,1652,25.5,27.6,2.2,13.5,13.4,7.5,10.3
6440014,3115,22.1,28.2,2.8,11.7,15.2,11.1,8.9
6440015,3763,26.1,28.8,3,8.3,12.8,11.6,9.4
6440016,9670,23,29.2,3.6,13.7,11.8,9.4,9.3
6440017,5875,25.6,26.5,3.7,8.6,12.6,14,9
6440018,3514,26.6,25.1,2.9,8.3,13.8,15,8.3
6440019,5064,23.5,29.8,3.7,12.4,10.7,9.2,10.7
6440020,3081,21.9,31.5,2.9,12.2,10.3,11.4,9.8
6440021,4121,23.6,30.6,3.1,10.5,12.1,10.3,9.8
6440022,2757,29.8,22.7,2.7,6.4,13.9,15.7,8.8
6440023,7398,23.9,24.6,3.3,7.6,16.2,16.3,8.1
6440024,5764,20.3,32.3,2.9,12.2,13.4,10.3,8.6
6440025,3845,25,26.6,2.9,8,14,13.7,9.8
6531001,2529,25.6,31.9,3.3,10.2,10.9,10.6,7.5
6531002,6304,22.4,31.7,4.3,8.7,11.3,14.2,7.4
6531003,7741,25.6,29.8,3,9.7,10.3,12.4,9.2
6531004,4151,23.1,30.3,3.4,7.2,11.3,16.4,8.3
6531005,43057,17,22.6,8.3,6.1,10.1,27.3,8.6
6531006,8033,26.3,26.6,3,13.4,10.7,11.5,8.5
6531007,4553,25,28.6,4.9,6.8,9.9,17.9,6.9
6531008,7090,23.8,30.5,3.1,10.5,10.9,11.7,9.5
6531009,6748,24.9,28,3.8,9.4,11.7,13.3,8.9
6531010,5387,21.9,29.7,4.3,11.3,9.4,11.5,11.9
6531011,8178,23.1,27,4.5,9.8,12.8,15.2,7.6
6531012,6612,25.5,25.7,4.2,7.8,11.2,17.3,8.3
6531013,4688,22.4,30.2,5,10.2,10.6,14.1,7.5
6531014,9689,26.6,29.2,3.5,9.3,10.2,13.2,8
6531015,3150,23.5,33,3.2,12.9,10.5,7.3,9.6
6531016,5803,24.8,28.6,4,13,11.1,10.4,8.1
6531017,4757,23,31.2,3.9,10,10.4,12.8,8.7
6531018,7968,23.6,28.8,4.3,7.2,11.4,16.9,7.8
6532001,6839,24.4,30.5,3.7,12.6,10.2,10,8.6
6532002,2027,28.8,27.6,2.3,13.5,9.9,8.6,9.3
6532003,6481,23.2,29,3,11.5,14.1,12,7.2
6532004,2784,33.8,25.6,1.8,12.8,12.2,5.9,7.9
6532005,3048,25.5,31,2.9,13.3,10.9,8.5,7.9
6532006,11230,27.4,28.1,3.3,12.2,11.7,8.8,8.5
6532007,2921,28.6,27,2.5,15.3,10.6,7.3,8.7
6532008,5010,24.8,29.2,3.2,14.1,11.5,9.7,7.5
6532009,5613,26.9,26.9,2.9,14.8,11.5,8.4,8.6
6532010,3979,25,30.6,3.1,12.2,10.6,10.7,7.8
6532011,9869,30.5,26.1,2.9,13.3,11.2,7.2,8.8
6532012,11013,24.5,30.2,3.2,10.1,12.2,11.5,8.3
6532013,3049,23.3,33.2,4.3,11.9,10.3,10.9,6.1
6532014,6906,25.5,26.7,3.1,9,11.8,14.5,9.4
6532015,5067,21.3,34.7,3.8,8.3,11.2,13.6,7.1
6532016,3235,23.8,31,2.2,14.7,10.1,10,8.2
6532017,2862,22.4,33.1,3.5,13.1,11.1,9,7.8
6532018,4104,24.9,30.3,3.7,10.1,10.3,11.4,9.3
6532019,1618,19.9,36.9,3,15.3,10,8.7,6.2
6532020,3507,25.9,27.9,3.1,12.4,12.1,11.5,7.1
6532021,7568,23.6,31.3,2.8,12.3,12.1,10.1,7.8
6532022,2965,23.4,28.2,2.9,11.5,11.8,11.9,10.3
6532023,25434,23.2,29.3,3.9,11.2,11.4,13.3,7.7
6533001,3098,28,28.3,2.4,12.2,12.7,9.6,6.8
6533002,4010,29.1,26.2,2.8,7.5,12.6,13.4,8.4
6533003,8429,27.5,25.1,3.1,7.2,13,16.7,7.4
6533004,4828,35.3,22.7,2,10.7,12.9,8.6,7.8
6533005,1371,33.1,24.5,1.8,12.3,12.7,8.2,7.4
6533006,4247,31.8,25,2.5,7.6,13.1,12.5,7.5
6533007,6263,28.5,24.1,3.1,12.4,13.4,10.3,8.2
6533008,6125,22.3,27.2,2.8,9.8,15.1,13.5,9.3
6533009,17848,27.4,25.2,3.4,8.9,13.6,14.1,7.4
6533010,2562,19.9,36.3,2.8,10,12.6,9.5,8.9
6533011,3209,30.5,26.6,3.1,11.6,12.8,8.6,6.8
6533012,1859,20.9,34.4,2.4,14,12.4,7.6,8.3
6533013,5694,27,31.2,2.7,9.4,11.9,10.5,7.3
6533014,4365,29.9,25.6,2.8,8.5,12.4,12.6,8.2
6533015,4193,26.1,32.7,2.7,9.3,11.9,10.3,7
6533016,3207,35.5,23.4,2.3,10.1,12.9,8.5,7.3
6533017,6881,22.7,32.5,3.2,11.4,11.9,11.1,7.2
6533018,5113,23.4,32.5,3.2,11.3,10.8,10.1,8.7
6533019,2733,19.6,39.4,3.1,11,10.7,8.7,7.5
6534001,3286,36.9,23.2,3.2,9.3,12.1,9.5,5.8
6534002,2004,24.5,33.2,3.1,14.5,9.7,7.3,7.7
6534003,4492,24.3,32.1,3.3,15.2,11.1,6.2,7.8
6534004,7212,23.4,34.6,3.4,11.2,11.6,8.7,7.1
6534005,3278,24.2,33.2,2.7,12.3,12.6,7.3,7.7
6534006,4225,19.5,33.7,5.4,7.6,10.5,16.4,6.9
6534007,6843,26.7,35,2.7,9.8,10.4,7.4,8
6534008,5841,21.3,33.9,4.1,8.9,11.1,13,7.7
6534009,2649,23,34.1,4.9,9.9,9.9,12.5,5.7
6534010,6838,27.1,30.9,3.1,11.4,11.9,8.9,6.7
6534011,9713,25.6,33.2,3.5,9.7,11.1,11.2,5.7
6534012,4396,22.2,34.6,4.4,8.3,10.6,13.9,6
6534013,3493,23.7,30.8,4.3,12.4,10.7,10.1,8
6534014,44716,16.1,25.2,10.3,4.6,9.1,28.5,6.2
6534015,2146,29.4,34.8,3,7.8,10.6,9.4,5
6534016,4322,30.3,26.6,2.2,16.1,11.9,6.2,6.7
6534017,2682,25.1,32.1,3.5,10.1,12.1,10.4,6.7
6534018,8494,27.6,28.8,3.5,14,12,7.1,7
6534019,2253,19,34.4,4,18.2,10.3,7.5,6.6
6534020,4779,22.7,30,5,6.9,13.1,16.1,6.2
6534021,5217,21.4,35.4,4.8,8.9,10.1,12.3,7.1
6534022,1385,24.5,34.9,3.8,12,9.1,9.2,6.5
6535001,8619,25.2,31.4,4.5,11.2,10.7,10.2,6.8
6535002,1292,43.4,18,3.7,12,10,7,5.9
6535003,1594,22.9,33.9,3.1,11.3,13.6,8,7.2
6535004,2120,26.6,24.2,2.6,17.9,10.6,7.4,10.7
6535005,1646,24.5,32.9,4,13.3,10.3,6.9,8.1
6535006,1545,23.2,35.3,4.5,10.8,8.3,8,9.9
6535007,3035,22.1,29.6,3.3,16.7,12.8,6.9,8.6
6535008,2941,28.1,29.9,3,12,10,8.5,8.5
6535009,4460,23.4,32.3,4.6,9.8,12.5,10,7.4
6535010,2008,32.5,25.9,3.3,13.5,10.9,8.2,5.7
6535011,7343,23.3,31.1,3.6,12.2,11.9,11,6.9
6535012,1558,21,36.1,3,12.3,11.7,7.3,8.6
6535013,5789,23.5,31.1,3,13.1,11.1,9.6,8.6
6535014,1642,23.2,35,4.3,11.1,10.8,8.7,6.9
6535015,5623,25.3,29.7,3.2,14.1,10.5,9.9,7.3
6535016,6064,22,30.1,3.8,13.9,12.4,8.8,9
6535017,1742,25,31.9,4,10.2,11,8.4,9.5
6535018,1880,24.5,29.3,3.6,14.2,12.1,7.6,8.7
6535019,2507,22.6,33.3,3.4,10.7,10.5,10.7,8.8
6611000,97783,15.8,28.6,8.3,6.8,9.8,23.1,7.6
6631001,1732,32.9,21.1,3.3,14.4,12.2,7.7,8.4
6631002,4149,28.9,26.7,2.2,13.6,14.3,8.1,6.2
6631003,2322,33.1,18.9,2.4,12.4,16.1,10.1,7
6631004,3017,37.5,18,2,13.1,11.8,8.5,9.1
6631005,1694,36.7,23.4,1.6,13.5,11,7.3,6.5
6631006,7404,32.2,22.3,2.2,12.2,14.2,9.8,7.1
6631007,4533,37.7,17.1,1.8,14.7,13.2,6.4,9.1
6631008,5612,33.7,21.5,1.9,13.4,12.5,7.8,9.2
6631009,33171,28.7,20.3,3.8,12.8,12.5,14.1,7.8
6631010,3295,24.4,25.6,3.1,17.1,12.6,8.4,8.8
6631011,5656,32.9,21.3,2.4,13.9,13.8,8.3,7.4
6631012,2968,39.7,17.1,2.1,14.1,12.9,7.7,6.4
6631013,4188,39.4,16.6,1.9,11.6,14.5,10,6
6631014,2995,36.9,16.5,1.7,16.5,12.9,7.7,7.8
6631015,9888,36.7,18.7,2.5,12.4,13.5,9.5,6.7
6631016,4163,30.4,24.5,1.7,17.8,12.7,6.2,6.7
6631017,10305,33.4,21.5,2.7,10.3,13.5,11.6,7
6631018,6731,32.8,21.4,1.6,18.3,12.2,7,6.7
6631019,1917,40.2,14.8,1.3,16.3,12.9,6.7,7.8
6631020,10077,33.7,20.8,2.5,10.5,13.4,12.2,6.9
6631021,1779,36.6,14.7,2.9,10.4,12.2,12.1,11.1
6631022,1081,40.1,18.3,2.2,13,14.2,5.8,6.4
6631023,2723,29,26.6,1.7,16.9,12.4,7.2,6.2
6632001,3037,22.6,35.4,2.4,15.3,10,6.5,7.8
6632002,14684,20.4,34.9,3.3,12.1,12.4,10.7,6.2
6632003,7428,24.6,36.6,3.6,12.2,9.8,7.1,6.1
6632004,1072,21.6,38.9,3.3,11.5,10.7,8,6
6632005,817,15.9,40.1,2.1,21.3,9.4,5.5,5.7
6632006,1519,19.9,40,2.2,14.9,10.7,6.4,5.9
6632007,2000,18.6,38.7,2.2,13.4,11.9,8.5,6.7
6632008,1986,23.1,35.6,3,12.1,11.7,9.6,4.9
6632009,4383,18.1,42.8,2.9,14.9,9.5,4.5,7.3
6632010,1950,17,41.5,2.7,15.1,11,5.1,7.6
6632011,2130,22.6,36.3,2,14,10.5,7.3,7.3
6632012,3493,22.9,38.4,2.8,13.7,9.6,6.6,6
6632013,1743,18.7,47.6,3.2,10.8,8.1,6.3,5.3
6632014,1835,28.1,33.5,2.5,14,10.5,5.7,5.7
6632015,3220,20.5,39.1,2.7,12.9,10.7,8,6.1
6632016,2575,18.4,43.3,3,14.8,8.9,4.5,7.1
6632017,1548,24.9,42.5,2.5,8.3,9.4,7.6,4.8
6632018,7628,22.2,35,3.2,11.6,10.9,10.4,6.7
6632019,2915,20,39.2,2.6,12.4,12,7.5,6.3
6632020,3154,21,40.2,3.2,12.1,10.1,5.9,7.5
6633001,5503,21.4,37,3.2,7.6,9.7,15,6.1
6633002,1929,23.8,36.1,3.5,8.6,10.6,10.7,6.7
6633003,15897,18.2,39.4,3.5,10,11.4,11.3,6.2
6633004,2352,21.7,41.1,2.8,9.1,9.6,9.8,5.9
6633005,4603,19.2,40.6,3.2,9.3,9.4,10.9,7.4
6633006,3483,20.2,36.6,4.8,9.8,10.5,11,7.1
6633007,3269,21.9,37,3.7,9.6,10.9,10.7,6.2
6633008,5639,20.9,38.3,3.2,9.1,11.3,11,6.2
6633009,7572,20.4,38.3,3.6,9.1,10.8,10.9,6.9
6633010,3552,20,40.1,3.3,8.4,10.1,11.3,6.8
6633011,3472,21.2,36.1,4.5,7,11.1,13.9,6.2
6633012,3259,20.3,39.1,3.4,10.2,9.6,11,6.4
6633013,8309,22.4,38.8,3.8,9.8,9.9,9.9,5.4
6633014,4299,19.3,38.9,3.5,8.3,9.1,12.6,8.3
6633015,7991,19,35.2,5,8.7,10.3,15.6,6.2
6633016,2052,20.7,40.8,3,9.9,10.1,8.6,6.9
6633017,7872,19.2,38.9,4,9.5,11.6,10.6,6.2
6633018,3177,27.9,36.8,3.8,7.4,8.4,9.5,6.2
6633019,1334,16.3,44.3,3.4,8.8,9.5,11.8,5.9
6633020,6682,21,36.8,3.8,8.3,11.5,11.8,6.8
6633022,2774,20.2,38.2,2.9,10.6,10.6,9.4,8.1
6633023,6764,18.3,39.3,3.3,9,11.6,11.8,6.7
6633024,3006,14.6,44.1,4.3,8.2,10.4,11.9,6.5
6633025,3123,20.8,41.4,2.5,9.5,8.7,9.3,7.8
6633026,10908,21.8,36.7,3.4,7.5,11.2,13,6.4
6633028,7278,23.5,34.9,3.1,9.3,10.7,11.8,6.7
6633029,4177,19.2,37.2,3.9,9.2,10.8,12.5,7.2
6633030,3311,18.1,45.2,4,7.6,9.9,8.2,7
6634001,7139,19.2,39.4,3.4,10.7,9.4,8,9.9
6634002,4644,17.1,41.6,3.1,8.6,9.6,12.8,7.2
6634003,6433,18.4,40.8,3.1,9.7,10.2,10.9,6.9
6634004,4420,18.5,38.6,2.3,14.5,10.3,7.9,7.9
6634005,8644,26.7,32.3,3.2,9.3,10.2,11,7.3
6634006,1888,23.8,32.6,2.6,12.4,12.6,8.8,7.2
6634007,5776,19.5,37,3.5,10.1,10.8,11.1,8
6634008,3546,19.7,40.7,3.3,7.8,9.9,12.3,6.3
6634009,7436,22.4,33.3,3.4,12.3,11.8,10.4,6.4
6634010,1474,23.3,38.1,3.9,9.5,9.7,9.2,6.3
6634011,2773,22.1,36.2,3.1,10.5,12.2,8.2,7.7
6634012,2013,17.5,38.4,3.3,9.9,11.4,13.3,6.2
6634013,2461,17.7,39.8,2.9,10,11.2,10.9,7.5
6634014,7994,18,39.2,3.2,7.7,12.5,12.9,6.5
6634015,2078,15.9,38.9,3.9,10.7,12.6,10,8
6634016,2018,21.3,37.9,2.8,11.9,10.4,8.1,7.6
6634017,3914,23.8,32,2.8,14.5,12.3,7.6,7
6634018,3496,17.2,38.6,3.5,10.4,9,13.1,8.2
6634019,1887,25.9,34.4,2.4,11.2,12,8.1,6
6634020,1439,21.7,37.4,3.4,12,9.8,7.4,8.3
6634021,1956,21.3,38.4,2.4,12.7,12.1,6.3,6.8
6634022,9514,21.3,33.5,3.5,11.9,10.4,10.1,9.3
6634023,582,33.7,34.4,2.4,9.8,9.3,5,5.4
6634024,3494,20.6,40.2,3.6,9.7,10.5,8.9,6.5
6634025,4471,20.9,38.2,3.2,11.7,9.1,9.7,7.2
6634026,3072,21.2,35.1,2.4,13.9,12.5,7.3,7.6
6634027,2286,22.2,34.3,3.2,10.6,11.8,11.2,6.7
6635001,3051,25.4,33,3,13.9,10.4,8.5,5.8
6635002,8393,26.3,31.7,3.1,9,11.7,11.7,6.5
6635003,8780,23.5,31,3.3,11.4,11.5,11.2,8.1
6635004,3093,25.6,30.5,2.8,11.8,12.1,10.7,6.5
6635005,1037,25.4,28.9,3,13.4,15.2,8.3,5.8
6635006,3005,26.8,32,2.9,9.2,12.6,9.8,6.7
6635007,3043,25.1,33.2,2.4,9.7,16.1,7.3,6.2
6635008,3001,25.4,35.2,3.3,7.6,10.8,10.5,7.2
6635009,4009,22.8,34.5,2.9,9.4,11.3,11.6,7.5
6635010,1864,18.1,39,3.8,7.3,12.1,12.1,7.6
6635011,9817,23.8,31,3.4,11.5,12,11.3,7
6635012,1980,27.4,29.6,4,11,11.4,9.8,6.8
6635013,1957,19.9,42.6,2.9,10.3,11.3,8,5
6635014,1833,22.5,36.7,3.1,10.9,11.5,7.8,7.5
6635015,11838,22.9,32.8,3,11.5,12.8,10.7,6.3
6635016,2452,26.1,29.9,2.8,11,13.4,10,6.8
6635017,1294,27,26.2,2.4,12.5,15.3,10,6.6
6635018,2657,27.9,30.8,2.2,9.3,14.8,9.6,5.4
6635019,3389,23,35.9,2.9,9.6,12,9.7,6.9
6635020,3685,25.8,33.2,2.7,9.1,9.3,11.4,8.5
6635021,4180,26.1,32.5,2.8,8.8,11.9,10.6,7.3
6635022,3447,31.4,28.2,2,7.5,16.4,9.5,5
6636001,4872,25.2,33.2,4.9,9.9,8.7,11.8,6.3
6636002,1006,30,33.3,3.2,8.1,10.4,8.8,6.2
6636003,10561,23.3,36.5,4.2,9.8,8.8,10.5,6.9
6636004,3851,18.1,41.8,3.5,11.1,9.2,6.5,9.8
6636005,1766,22.2,36.6,4,11.5,9.1,6.9,9.7
6636006,6717,21.4,40.2,3.3,10.5,8.7,8.7,7.2
6636007,3137,19.6,40.5,3.6,10.1,10.3,9.4,6.5
6636008,1982,18.3,42.3,3.4,8.4,11.6,10.4,5.6
6636009,1222,20.5,34,7,7.9,5.8,17.8,7
6636010,1947,24,39.4,2.6,12.6,8.8,5.5,7.1
6636011,4368,22.8,40.6,2.9,12.8,9.8,5.9,5.2
6636012,2735,21.5,37.8,2.2,11.8,10.2,6.9,9.6
6636013,2684,27.3,35.2,4.2,9.6,9.5,7.9,6.3
6636014,3223,21.1,38.9,3.2,10.2,9.9,8.5,8.2
6636015,653,19.1,40,3.7,12.4,10,5.4,9.4
6636016,9180,19.9,34.1,6.4,7.5,7.6,17.4,7.1
71110000,61278,23.9,27,4.2,6.5,11.4,18.5,8.5
71310007,50459,27.6,27.3,2.7,6.5,12.6,14.9,8.4
71310070,50459,27.6,27.3,2.7,6.5,12.6,14.9,8.4
71310077,50459,27.6,27.3,2.7,6.5,12.6,14.9,8.4
71310090,50459,27.6,27.3,2.7,6.5,12.6,14.9,8.4
71315001,8289,37.3,23.9,2.3,6.8,12.6,9.6,7.5
71315002,6402,35.9,25.5,2.2,4.6,12,12,7.8
71315003,7373,27,30.4,2.8,7.4,11.5,11.9,9
71315004,11888,28.7,29.1,2.6,7.4,11.2,11.5,9.5
71325003,10318,24.9,33.2,2.8,10.3,12.1,7.5,9.2
71325006,6962,22.2,33.6,3.4,13.4,10.2,8.7,8.5
71325007,14238,29.8,31.3,3,8.6,11.6,9,6.7
71325008,8679,32.7,27.9,2.7,9.8,10.5,9.3,7.1
71325009,14683,31.8,28.6,3.1,9.3,11.7,8.3,7.2
71325010,20447,24.7,29.8,3.3,10.3,12.2,10.4,9.3
71330006,22484,27.2,30.1,2.8,9.9,12.2,11.5,6.3
71335001,34175,22.7,29.5,4.4,9.9,12,12.7,8.8
71335006,18986,27.3,31.4,2.5,8,11.8,10.3,8.7
71335009,10219,20.2,38.8,3.2,12.8,10.1,6.1,8.8
71335010,21156,22.3,36.4,3.6,11,10.1,9.5,7.1
71335011,22484,27.2,28.8,3.1,9.6,12.5,12.2,6.6
71340045,21636,22.8,33.3,3.4,14.6,11.4,6.3,8.2
71345001,5211,23.8,32.7,3.5,11.6,9.8,5.5,13.1
71345002,11167,23.1,33,3.4,10.9,11.1,7.9,10.6
71345005,14291,25.1,32.8,3.2,10.6,12.3,6.9,9.1
71355001,11905,35.8,27.5,2.7,6.1,11.5,8.8,7.6
71355002,10000,30.4,29.3,2.5,7.5,11.5,9.4,9.4
71355003,6644,36.6,24.8,2,8.6,12.4,6.3,9.3
71355005,9241,32.1,26.5,2.4,8.9,12,8.2,9.9
71370003,108174,26,30,2.9,10.3,11.6,10.6,8.6
71370068,108174,26,30,2.9,10.3,11.6,10.6,8.6
71370203,68111,27.9,29.5,2.6,8.2,11.6,11.6,8.6
71375001,9907,25.9,32,2.1,9.8,10.6,11,8.6
71375002,15199,27.1,28.9,2.9,8,12.1,11.5,9.5
71375003,10922,31.1,29.3,2.4,7.2,11.8,9.1,9.1
71375004,8448,27.7,30.5,2.8,8.8,10.8,10.8,8.6
71375007,9890,30,26.7,2.3,5.7,14.8,13.3,7.2
71375008,19021,28.5,30.1,2.6,9.2,10.5,10,9.1
71375009,17599,32.1,28.1,2.3,5.7,11.1,12.8,7.9
71380045,65544,22.9,32.5,3.4,10.8,10.5,11.1,8.8
71385001,14210,30.4,24.8,2.6,9,12.3,12.1,8.8
71385002,6798,27,33.8,2.4,7.5,9.9,11.2,8.2
71385003,6102,28.9,27.3,2.5,12.1,12.6,7.7,8.9
71385004,11783,30.2,27.5,2.8,6.5,12.3,12.7,8
71385005,8853,21.6,31,3,13.1,11,8.5,11.8
71385007,8268,27.2,27.9,2.9,4.4,12.5,18,7.1
71385009,16181,26.5,28.7,2.8,9.8,11.9,11,9.3
71400501,12461,27.1,29.8,3.3,8.9,10.8,12,8.1
71405003,9791,27.7,26.9,3.1,8.8,12.6,9.7,11.2
71405004,11123,23.3,30.1,2.9,12.8,13.4,7.2,10.3
71405008,17246,24.4,30.4,3,9.9,13.5,9,9.8
71405009,15367,30.8,26.3,2.5,7.3,13.2,10.9,9
71410075,39424,24.9,34,3,7.9,10,11.3,8.9
71415003,14453,22.3,31.7,3.1,9.5,12,11.8,9.6
71415007,10214,22.7,33.8,3.1,8.3,10.9,10.1,11.1
71415009,10278,24.3,38.1,3,6.4,9.3,9.6,9.3
71415010,15393,23.2,33.2,3.1,9,10.9,10.8,9.8
71415011,11490,21.5,33,3.1,9.4,10.5,11.4,11.1
71435001,10626,22.9,35.7,3,10.9,11.3,7.7,8.5
71435002,15239,23.8,34.3,3,8.3,11.5,10.3,8.8
71435003,7326,26.3,27.2,2.9,7.6,12.3,13.6,10.1
71435004,25563,29.4,27,2.9,6.4,12.6,12.8,8.9
71435005,8391,27.8,28.7,2.8,8.6,13,10.4,8.7
71435006,9602,29.5,27.5,2.4,12.6,11.2,8,8.8
71435007,9595,27.3,30,3,10.1,11.5,8.2,9.9
71435008,9432,32.5,24.1,2.3,9.6,11.5,10.3,9.7
71435009,13413,28.7,30.3,2.5,10.6,11.8,7.7,8.4
71435010,10835,31.3,29,2.8,7.4,11.9,9.6,8
72110000,57685,19.8,28.3,5.5,5.7,10.8,21.7,8.2
72310134,42170,29.5,28.3,3,7.9,11.3,10.5,9.5
72310502,41728,27.7,29.1,3,7.9,12.3,8.5,11.5
72315001,16909,29.3,28.2,2.9,6.6,13.2,9.3,10.5
72315006,4560,25.5,33.9,3.1,8.9,11.5,7.1,10
72315008,18379,31.1,27.7,2.5,7.9,11.2,9,10.6
72315009,9945,28.9,30,2.5,7.5,12.7,9.9,8.5
72320018,60740,28.7,27.2,2.3,6.5,11,9.3,15
72325001,5344,33.6,26.8,2.2,5.6,11.8,7.6,12.4
72325005,9560,28.5,29.1,2.4,5.7,11,9.5,13.8
72325006,12234,31.5,25.8,2.2,6.5,11.6,9,13.4
72325007,4467,27.8,29.6,2,7.9,9.9,7.3,15.5
72325008,14767,27.2,27.8,2.6,6.3,10.4,9.4,16.3
72335001,14033,31.8,28.7,2.8,6.8,12.6,8.9,8.4
72335004,4757,38.8,25,2.7,7,11.9,5.8,8.8
72335006,17748,29.6,29.4,3.2,8.2,11.5,9.6,8.5
72355001,8531,26.2,34,3.8,8.6,9.9,8.1,9.4
72355003,17649,25.4,31.4,2.9,6.4,11.4,13,9.5
72355004,11687,25.5,32.8,2.9,5.7,10.9,12.9,9.3
72355006,17963,29.6,28.9,2.3,5.8,13,11.3,9.1
72355007,12865,24.2,31.9,2.9,6.4,10.8,12.7,11.1
72355008,19174,26,32.2,3.1,6.7,10.8,10.6,10.6
73110000,22996,24.8,29.1,2.9,12.7,11.3,10.7,8.5
73120000,48017,18.6,28.8,4.8,12,11.2,15.1,9.5
73130000,27756,19.1,26.2,5.3,6.8,11.5,22.1,9
73140000,67167,19.2,30.9,3.7,12.6,11.4,12.1,10.1
73150000,118839,19.1,25.1,5.6,4.3,11.1,27.5,7.3
73160000,31352,23.7,26,2.8,10.1,12,15.9,9.5
73170000,19789,24.2,29.3,3.2,15.4,11.3,6.3,10.3
73180000,26746,21.7,27.3,4,10,12.3,16.5,8.2
73190000,39706,22.4,30.4,3.5,12,11,12,8.7
73200000,18039,20.3,32.9,3.8,13.1,11.1,9.5,9.3
73310003,91048,22.6,30.5,3,11.4,12.5,11.1,8.9
73315001,15808,22.6,29.3,2.9,12,13.4,10.6,9.2
73315002,7984,21.1,31.7,2.5,13.9,11.9,9.4,9.5
73315003,6735,20.8,33.5,2.7,11.3,11.6,10.3,9.8
73315005,7233,23.5,31.8,2.7,9.8,12.2,10.6,9.4
73315006,17679,23.5,30.3,2.9,7.7,12.4,14.5,8.7
73315007,12462,23.6,29.5,2.4,13.4,12.2,9.3,9.6
73320002,31535,22.5,29.1,2.8,11.1,12.9,12.9,8.7
73320024,31535,22.5,29.1,2.8,11.1,12.9,12.9,8.7
73320025,31535,22.5,29.1,2.8,11.1,12.9,12.9,8.7
73325001,8004,31.5,24.2,2.1,7.4,13.1,12.7,9
73325002,10264,23.7,28.7,2.3,8.2,14.7,14,8.4
73325005,7030,21.9,32.4,3.1,13.1,9.2,8.9,11.4
73325006,6656,26.7,25.2,2.3,6.8,15.4,15.4,8.2
73325007,20167,22.5,30.2,2.5,10.7,12.8,11.3,10
73335002,7037,18.8,37.4,2.8,11.3,10.1,8.3,11.3
73335003,7334,21.6,30.2,3,12.1,11.1,8.8,13.2
73335004,11244,20.3,31.6,3.2,12.4,11.4,10.8,10.3
73335006,8130,21.2,30.5,3.2,12.8,10.7,9.9,11.7
73335007,10603,20,35.1,3.4,11.8,9.9,9.3,10.5
73340007,35680,23.5,26.9,3.7,14.7,11.3,10.2,9.7
73340501,35680,23.5,26.9,3.7,14.7,11.3,10.2,9.7
73345001,8254,24.6,26.1,2.3,13.7,13.2,10.1,10
73345002,6506,25.5,30.1,2.3,10.7,12.7,10.1,8.6
73345003,10603,27,25.1,2.8,10.6,12.9,12.6,9
73345004,9779,20.3,31.4,3.3,9.4,14.2,12.5,8.9
73345005,9730,20.7,29.3,2.7,13.9,13.2,10.1,10.1
73345006,9504,27.4,23.5,1.9,13.4,13.8,9.7,10.3
73355001,20727,25.1,28.3,3.5,14.1,10.1,8.3,10.6
73355002,11938,21.9,31.5,3.1,11.6,10.6,10.1,11.2
73355008,9314,27.1,27.9,2.9,14.2,9.7,7,11.2
73355009,8524,21.8,32.8,4,12.2,10.8,8.6,9.8
73355010,11650,20.5,32.4,3.2,13.6,10.2,8.9,11.2
73355011,20850,25.4,26.2,3.9,15.1,10.1,8.6,10.7
73365008,11178,19.1,37,4.3,12.1,8.5,7.8,11.2
73365009,17961,20,35,3.7,13.7,9.4,7,11.2
73365010,13839,19,38.1,3.4,12.5,8.3,7.5,11.2
73375001,10028,23.1,28.7,3.5,11.5,10.1,12.4,10.7
73375002,14822,21.7,30.9,3.3,10.8,12.2,12.2,8.9
73375003,12892,26,27.3,3,8.4,12.3,14,9
73375004,9684,25.7,25.9,2.7,9.8,13.6,13,9.3
73375005,9029,22,31.2,3.1,9.3,12.8,12.9,8.7
73375006,5361,31,24.5,2.2,6.3,13.3,14,8.7
73375007,7887,22.4,30.8,2.3,9.3,13.3,11.8,10.1
73380004,90487,23.9,29.2,2.5,10.5,12.9,12,9
73380005,90487,23.9,29.2,2.5,10.5,12.9,12,9
73380017,90487,23.9,29.2,2.5,10.5,12.9,12,9
73380019,90487,23.9,29.2,2.5,10.5,12.9,12,9
73380025,41873,26.9,24.7,2.6,10.4,12.7,13.3,9.4
73385001,8329,28,25.5,2,10.8,13,10.7,10
73385004,7905,23.1,29.8,2.2,10.5,13.2,12.2,9
73385006,10293,23.8,30.8,1.8,10.8,11.9,11.6,9.3
73385007,13420,26.9,24.5,2.7,10.2,13,14.7,8
73385008,15027,23.2,28.8,2.5,11.3,13.5,12.1,8.6
73390005,159101,23.9,29,3.5,7,12,16.8,7.8
